City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
158,Bambous Virieux,MU,-20.3428,57.7575,73.65,73,75,10.36,broken clouds
159,Kiruna,SE,67.8557,20.2251,52.72,87,75,8.05,light rain
160,Stonewall,CA,50.1344,-97.3268,76.78,52,66,6.42,broken clouds
161,Nizwa,OM,22.9333,57.5333,92.86,18,0,2.55,clear sky
162,Russell,US,32.3502,-85.1999,91.38,58,20,3.44,few clouds
163,Gardez,AF,33.5974,69.2259,67.39,31,100,2.51,overcast clouds
164,Juneau,US,58.3019,-134.4197,53.22,92,75,5.75,light rain
165,Nikolskoye,RU,59.7035,30.7861,66.09,76,37,3.69,scattered clouds
166,Khuzhir,RU,53.1939,107.3397,46.51,92,32,3.78,scattered clouds
167,Bardiyah,LY,31.7561,25.0865,73.78,74,0,16.71,clear sky
168,Sarlat-La-Caneda,FR,44.889,1.2166,73.87,57,66,2.95,broken clouds
169,Hilo,US,19.7297,-155.09,80.28,71,75,1.01,broken clouds
170,Barroso,BR,-21.1869,-43.9758,64.58,84,100,6.24,moderate rain
171,Guider,CM,9.9342,13.9486,88.43,42,7,3.76,clear sky
172,Ucluelet,CA,48.9329,-125.5528,55.09,93,38,4.99,scattered clouds
173,Ranong,TH,9.9658,98.6348,79.25,87,100,6.2,overcast clouds
174,Zaria,NG,11.1113,7.7227,76.73,70,26,4.5,light rain
175,Gat,IL,31.61,34.7642,89.4,27,0,6.89,clear sky
176,Riohacha,CO,11.5444,-72.9072,93.31,49,75,23.02,broken clouds
177,Aksarka,RU,66.5606,67.7975,58.78,76,72,11.97,light rain
178,Gisborne,NZ,-38.6533,178.0042,54.34,80,100,5.41,very heavy rain
179,Shingu,JP,33.7333,135.9833,64.24,89,100,4.41,overcast clouds
180,Altagracia De Orituco,VE,9.8601,-66.3814,86.54,55,90,5.88,overcast clouds
181,Chokurdakh,RU,70.6333,147.9167,51.55,45,26,11.56,scattered clouds
182,Isla Mujeres,MX,21.2311,-86.731,86.16,70,9,10.74,clear sky
183,Zyryanka,RU,65.75,150.85,48.2,81,63,6.06,broken clouds
184,Kruisfontein,ZA,-34.0033,24.7314,64.99,25,86,10.16,overcast clouds
185,Lingao,CN,19.9103,109.6859,79.74,87,98,6.51,overcast clouds
186,Mahibadhoo,MV,3.7833,72.9667,82.92,75,100,10.71,overcast clouds
187,Zhigansk,RU,66.7697,123.3711,47.98,82,100,12.08,overcast clouds
188,Antalaha,MG,-14.9003,50.2788,71.78,78,19,10.6,few clouds
189,Kodinsk,RU,58.6881,99.1844,56.73,61,57,5.84,broken clouds
190,Chapais,CA,49.7834,-74.8492,62.38,47,100,4.72,overcast clouds
191,Port Alfred,ZA,-33.5906,26.891,68.14,37,7,11.56,clear sky
192,Haradok,BY,55.4624,29.9816,68.23,90,19,5.46,few clouds
193,Kathmandu,NP,27.7167,85.3167,71.82,88,20,4.61,few clouds
194,Isangel,VU,-19.55,169.2667,76.91,89,100,6.06,overcast clouds
195,Laizhou,CN,37.1717,119.9214,67.39,77,100,11.54,overcast clouds
196,Pionerskiy,RU,54.9508,20.2275,66.04,77,9,1.83,clear sky
